State_Name,District_Name,YEAR,Season,Crop,Area,Production,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
arunachal pradesh,anjaw,2011,kharif,maize,3560.0,4747.0,40.0,51.3,174.5,240.8,219.6,288.4,531.4,277.6,286.7,51.9,16.2,15.2
arunachal pradesh,anjaw,2011,kharif,rice,3489.0,2988.0,40.0,51.3,174.5,240.8,219.6,288.4,531.4,277.6,286.7,51.9,16.2,15.2
arunachal pradesh,anjaw,2011,kharif,small millets,1381.0,1104.0,40.0,51.3,174.5,240.8,219.6,288.4,531.4,277.6,286.7,51.9,16.2,15.2
arunachal pradesh,anjaw,2011,rabi,wheat,10.0,16.0,40.0,51.3,174.5,240.8,219.6,288.4,531.4,277.6,286.7,51.9,16.2,15.2
arunachal pradesh,anjaw,2011,whole year,dry chillies,22.0,35.0,40.0,51.3,174.5,240.8,219.6,288.4,531.4,277.6,286.7,51.9,16.2,15.2
arunachal pradesh,anjaw,2011,whole year,dry ginger,118.0,950.0,40.0,51.3,174.5,240.8,219.6,288.4,531.4,277.6,286.7,51.9,16.2,15.2
arunachal pradesh,anjaw,2011,whole year,oilseeds total,139.0,154.0,40.0,51.3,174.5,240.8,219.6,288.4,531.4,277.6,286.7,51.9,16.2,15.2
arunachal pradesh,anjaw,2011,whole year,potato,117.0,1043.0,40.0,51.3,174.5,240.8,219.6,288.4,531.4,277.6,286.7,51.9,16.2,15.2
arunachal pradesh,anjaw,2011,whole year,turmeric,20.0,51.0,40.0,51.3,174.5,240.8,219.6,288.4,531.4,277.6,286.7,51.9,16.2,15.2
arunachal pradesh,anjaw,2012,kharif,maize,3995.0,3885.0,57.8,35.8,134.2,403.4,187.4,645.8,638.9,316.0,724.9,248.1,22.0,26.2
arunachal pradesh,anjaw,2012,kharif,rice,3561.0,2996.0,57.8,35.8,134.2,403.4,187.4,645.8,638.9,316.0,724.9,248.1,22.0,26.2
arunachal pradesh,anjaw,2012,kharif,small millets,1381.0,1105.0,57.8,35.8,134.2,403.4,187.4,645.8,638.9,316.0,724.9,248.1,22.0,26.2
arunachal pradesh,anjaw,2012,rabi,wheat,13.0,20.0,57.8,35.8,134.2,403.4,187.4,645.8,638.9,316.0,724.9,248.1,22.0,26.2
arunachal pradesh,anjaw,2012,whole year,dry chillies,24.0,96.0,57.8,35.8,134.2,403.4,187.4,645.8,638.9,316.0,724.9,248.1,22.0,26.2
arunachal pradesh,anjaw,2012,whole year,dry ginger,120.0,980.0,57.8,35.8,134.2,403.4,187.4,645.8,638.9,316.0,724.9,248.1,22.0,26.2
arunachal pradesh,anjaw,2012,whole year,oilseeds total,139.0,139.0,57.8,35.8,134.2,403.4,187.4,645.8,638.9,316.0,724.9,248.1,22.0,26.2
arunachal pradesh,anjaw,2012,whole year,potato,120.0,1022.0,57.8,35.8,134.2,403.4,187.4,645.8,638.9,316.0,724.9,248.1,22.0,26.2
arunachal pradesh,anjaw,2012,whole year,turmeric,18.0,41.0,57.8,35.8,134.2,403.4,187.4,645.8,638.9,316.0,724.9,248.1,22.0,26.2
arunachal pradesh,anjaw,2013,kharif,maize,3595.0,3885.0,18.5,40.5,115.1,175.1,335.8,290.0,329.6,230.2,316.1,164.1,13.3,14.6
arunachal pradesh,anjaw,2013,kharif,rice,3561.0,2624.0,18.5,40.5,115.1,175.1,335.8,290.0,329.6,230.2,316.1,164.1,13.3,14.6
arunachal pradesh,anjaw,2013,kharif,small millets,1381.0,1105.0,18.5,40.5,115.1,175.1,335.8,290.0,329.6,230.2,316.1,164.1,13.3,14.6
